oid,t,lon,lat
4,1443650765,-4.4851084,48.381325
5,1443650766,-4.4954515,48.383675
6,1443650768,-4.4880333,48.377426
0,1443650768,-4.3704367,48.11814
7,1443650768,-4.4286833,48.15296
10,1443650771,-4.4721,48.166084
9,1443650772,-4.7822986,47.9869
1,1443650772,-4.4657683,48.38248
2,1443650772,-4.49656,48.38241
16,1443650773,-4.5124984,48.370834
4,1443650774,-4.485105,48.381325
3,1443650776,-4.665925,48.09042
8,1443650779,-4.764633,47.968735
0,1443650779,-4.370973,48.118153
7,1443650779,-4.4281683,48.15264
9,1443650780,-4.7823315,47.986435
10,1443650781,-4.4721785,48.166065
1,1443650782,-4.4657664,48.382484
16,1443650783,-4.5124984,48.370834
28,1443650783,-4.64015,47.998516
2,1443650783,-4.496565,48.3824
4,1443650785,-4.4850965,48.381336
5,1443650787,-4.4954534,48.383675
0,1443650787,-4.3713665,48.11815
7,1443650789,-4.427705,48.152348
11,1443650789,-4.4892683,48.377205
9,1443650790,-4.782365,47.9859
10,1443650791,-4.472265,48.166054
1,1443650792,-4.46576,48.38249
16,1443650794,-4.5124984,48.370834
2,1443650794,-4.496565,48.3824
4,1443650795,-4.4850535,48.38133
3,1443650796,-4.6670933,48.090347
8,1443650798,-4.76438,47.967846
0,1443650798,-4.371905,48.11814
7,1443650800,-4.427242,48.152054
9,1443650801,-4.782415,47.985317
10,1443650801,-4.472338,48.16606
2,1443650802,-4.496565,48.3824
16,1443650803,-4.5124984,48.370834
4,1443650804,-4.4850483,48.38133
3,1443650805,-4.6676764,48.090313
5,1443650807,-4.4954667,48.383663
0,1443650807,-4.372347,48.11812
14,1443650809,-4.497102,48.207287
9,1443650810,-4.782465,47.9848
10,1443650810,-4.472397,48.16606
7,1443650810,-4.42678,48.151768
2,1443650813,-4.496568,48.382404
1,1443650813,-4.465747,48.382465
16,1443650814,-4.5124984,48.370834
4,1443650814,-4.485047,48.381325
3,1443650814,-4.6682067,48.090275
12,1443650818,-4.460675,48.117496
0,1443650819,-4.3729315,48.1181
8,1443650819,-4.7641115,47.966835
9,1443650820,-4.7824984,47.984333
10,1443650820,-4.4724717,48.166054
17,1443650821,-4.51477,48.369488
1,1443650822,-4.4657435,48.382454
16,1443650824,-4.5124984,48.370834
18,1443650824,-4.47944,48.382866
3,1443650825,-4.6687784,48.090218
4,1443650825,-4.485055,48.38132
5,1443650826,-4.4954715,48.38366
7,1443650828,-4.42589,48.151226
0,1443650828,-4.3733683,48.11809
10,1443650831,-4.472545,48.166054
